ano,mes,id_verbete,valor_total
2025,3,160,6769251304.0
2025,3,161,1893864648.0
2025,3,162,88201115.0
2025,3,171,0.0
2025,3,399,14448298824.0
2025,3,899,14442188069.0
2025,4,160,6811070017.0
2025,4,161,1910235511.0
2025,4,162,104151599.0
2025,4,171,0.0
2025,4,399,14508421705.0
2025,4,899,14502310950.0
2025,5,160,6842585812.0
2025,5,161,1913026325.0
2025,5,162,103159262.0
2025,5,171,0.0
2025,5,399,14747683557.0
2025,5,899,14741572802.0
2025,6,160,7968583668.0
2025,6,161,2975572653.0
2025,6,162,101365339.0
2025,6,171,0.0
2025,6,399,20231517873.0
2025,6,899,20225407117.0
2025,7,160,6285424256.0
2025,7,161,2061933893.0
2025,7,162,60886034.0
2025,7,171,0.0
2025,7,399,13441515364.0
2025,7,899,13435404608.0
2025,8,160,9094678867.0
2025,8,161,3672242026.0
2025,8,162,158129358.0
2025,8,171,0.0
2025,8,399,24694861790.0
2025,8,899,24688751034.0
2025,9,160,9389506953.0
2025,9,161,3673271392.0
2025,9,162,140643900.0
2025,9,171,0.0
2025,9,399,24698032977.0
2025,9,899,24691922221.0
