ano,mes,cnpj_basico,instituicao,agencias_processadas
2018,4,33479023,BCO CITIBANK S.A.,1
2018,4,00000000,BCO DO BRASIL S.A.,16
2018,4,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2018,4,58160789,BCO SAFRA S.A.,1
2018,4,90400888,BCO SANTANDER (BRASIL) S.A.,18
2018,4,00360305,CAIXA ECONOMICA FEDERAL,14
2018,4,60701190,ITAÚ UNIBANCO S.A.,19
2018,5,00416968,BANCO INTER,1
2018,5,60746948,BCO BRADESCO S.A.,28
2018,5,33479023,BCO CITIBANK S.A.,1
2018,5,00000000,BCO DO BRASIL S.A.,16
2018,5,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2018,5,58160789,BCO SAFRA S.A.,1
2018,5,90400888,BCO SANTANDER (BRASIL) S.A.,18
2018,5,00360305,CAIXA ECONOMICA FEDERAL,14
2018,5,60701190,ITAÚ UNIBANCO S.A.,19
2018,6,00416968,BANCO INTER,1
2018,6,60746948,BCO BRADESCO S.A.,28
2018,6,33479023,BCO CITIBANK S.A.,1
2018,6,00000000,BCO DO BRASIL S.A.,16
2018,6,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2018,6,58160789,BCO SAFRA S.A.,1
2018,6,90400888,BCO SANTANDER (BRASIL) S.A.,18
2018,6,00360305,CAIXA ECONOMICA FEDERAL,14
2018,6,60701190,ITAÚ UNIBANCO S.A.,19
2018,7,00416968,BANCO INTER,1
2018,7,60746948,BCO BRADESCO S.A.,28
2018,7,33479023,BCO CITIBANK S.A.,1
2018,7,00000000,BCO DO BRASIL S.A.,16
2018,7,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2018,7,58160789,BCO SAFRA S.A.,1
2018,7,90400888,BCO SANTANDER (BRASIL) S.A.,18
2018,7,00360305,CAIXA ECONOMICA FEDERAL,14
2018,7,60701190,ITAÚ UNIBANCO S.A.,19
2018,8,60746948,BCO BRADESCO S.A.,27
2018,8,33479023,BCO CITIBANK S.A.,1
2018,8,00000000,BCO DO BRASIL S.A.,16
2018,8,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2018,8,58160789,BCO SAFRA S.A.,1
2018,8,90400888,BCO SANTANDER (BRASIL) S.A.,18
2018,8,00360305,CAIXA ECONOMICA FEDERAL,14
2018,8,60701190,ITAÚ UNIBANCO S.A.,19
2018,9,60746948,BCO BRADESCO S.A.,26
2018,9,33479023,BCO CITIBANK S.A.,1
2018,9,00000000,BCO DO BRASIL S.A.,16
2018,9,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2018,9,58160789,BCO SAFRA S.A.,1
2018,9,90400888,BCO SANTANDER (BRASIL) S.A.,18
2018,9,00360305,CAIXA ECONOMICA FEDERAL,14
